kata,kelas,kata_dasar,nilai
"aa","Nomina; Sd","",2
"aabinomin","Nomina","",1
"aagola","Verba; Dd","",1
"aai","Nomina; Rjg","",1
"aakla","Nomina; Mt","",1
"aan","Nomina","",2
"aaname","Nomina","",2
"aastakona","Nomina; Bjr","",3
"aba","Nomina","",2
"aba","Nomina","",2
"aba","Nomina; Mar","",1
"aba","Verba; Mg","",1
"aba","Verba; Ldy","",1
"aba-aba","Nomina","",8
"abaaka","Nomina; Sng","",1
"abab","Nomina; Jw","",2
"ababil","Nomina; cak; akr","",4
"abad","Nomina","",8
"abaddon","Nomina","",2
"abadi","Adjektiva","",9
"abadiah","Nomina; Ar","",4
"abadiat","","",3
"abadiat","","",3
"abadiyah","","",1
"abadiyah","","",3
"abah","Nomina","",6
"abah","Nomina","",6
"abah","Nomina; Gy","",1
"abah","Nomina; Ri","",1
"abah","Nomina; Bl","",1
"abah-abah","Nomina","",5
"abah-abah","Adjektiva; Jw","",2
"abah-abah","Nomina","",5
"abahan","Nomina; Jw; kl","",1
"abahui","Verba; Bt","",1
"abai","Nomina","",2
"abai","Verba; Adjektiva","",7
"abaimana","Nomina; ark","",1
"abajang","Verba; Bg","",1
"abak","Nomina; Bun","",1
"abak","Verba; Klm","",1
"abaka","Nomina; Sp","",2
"abaksial","Adjektiva; Bio","",3
"abaktinal","Adjektiva; Zool","",2
"abakus","Nomina","",5
"abakus","Nomina; Ars","",2
"abakus","Nomina","",5
"abal","","",3
"abal","Verba; Beng","",1
"abal-abal","Nomina","",8
"abal-abal","Adjektiva; cak","",8
"abal-abal","Nomina","",8
"abala","Partikel","",2
"abalakido","Nomina; Gn","",1
"abalalu","Adjektiva; Mdr","",1
"abale","Nomina; Bl","",1
"abalon","","",3
"abalon","","",3
"abalone","Nomina","",4
"abalu","Nomina; Teng","",1
"abam","Nomina; Md","",1
"abamektin","Nomina; Kim","",3
"abampere","Nomina; Fis","",2
"aban","Nomina; Dy","",1
"abanat","Verba; Gn","",1
"abandira","Nomina; Dy","",1
"abandonemen","Nomina","",2
"abang","Nomina; Sln","",1
"abang","Adjektiva; Jw","",5
"abang","Nomina; Lay","",1
"abangda","Nomina; hor","",5
"abangga","Nomina; Ark","",1
"abango","Verba; Ni","",1
"abano","Nomina","",2
"abap","Nomina; Bt","",1
"abar","Nomina","",4
"abar","Verba; Bla","",1
"abar","Nomina; Ri","",1
"abarema","Nomina","",1
"abarumbung","Nomina; Bg","",1
"abas","Nomina; Bt","",1
"abas","Nomina; Kat","",2
"abas-abas","Nomina; Bt","",1
"abasa","Nomina; Isl","",3
"abasia","Nomina; Psi","",2
"abasiofilia","Nomina; Psi","",2
"abat","Nomina","",2
"abat","Nomina; Pr; Tbg","",1
"abate","Nomina; Sa","",3
"abatesasi","Nomina","",4
"abatis","Nomina; Ing; Mil","",3
"abatis","Nomina; Tbg","",1
"abatisasi","Nomina","",2
"abatoar","Nomina","",3
"abaton","Nomina; Ars","",2
"abau","Nomina","",2
"abau","Nomina","",2
"abawi","Nomina","",3
"abaya","Nomina; Tbs","",1
"abbasiyah","Nomina","",4
"abcoulomb","Nomina; Fis","",2
"abdal","Nomina; Isl","",3
"abdas","","",3
"abdi","Nomina","",8
"abdikasi","Nomina","",4
"abdikasim","Nomina; akr","",2
"abdis","Nomina; Kat","",2
"abdomen","Nomina; Anat","",6
"abdominal","Adjektiva","",4
"abdominis","Nomina","",3
"abdominoplasti","Nomina","",4
"abdu","Nomina","",2
"abduksi","Nomina","",4
"abduksi","Nomina; Dok","",4
"abduktor","Nomina; Dok","",4
"abdul","","",4
"abdul","","",4
"abdusen","Nomina; Anat","",3
"abe","Nomina; Mdr","",1
"abeat","Nomina; Dwn","",1
"abece","Nomina; ki","",4
"abed","Nomina; Ke","",1
"abegrin","Nomina; Dok","",2
"abek","Nomina; Ach","",1
"abek-abek","Nomina; Mk","",1
"abeli","Verba; Aln","",1
"abelia","Nomina","",3
"aben","","",2
"aben-aben","Adjektiva; MBl","",1
"aber","Adjektiva; Jw","",1
"aber","Nomina","",2
"aberan","Adjektiva; Dok","",2
"aberasi","Nomina","",6
"abes","Verba; Eln","",1
"abet","Verba; Huk; Nomina; Jk","",2
"abetalipoproteinemia","Nomina; Dok","",2
"abi","Nomina; Ar","",4
"abi","Nomina; Taa","",1
"abiabaito","Verba; Gor","",1
"abian","Nomina","",3
"abib","Nomina","",3
"abibliofobia","Nomina; Psi","",2
"abid","Adjektiva; ark","",2
"abid","Verba; Nomina","",3
"abidin","Nomina; Ar","",3
"abiens","Nomina; Bio","",2
